benchmark,variant,workset_bytes,stride_bytes,blocks_x_threads,time_ns_per_iter,bandwidth_gbs,l2_hit_pct,l1_hit_pct,dram_read_sectors,stall_long_scoreboard_pct,note
stride,baseline,262144,64,1x32,209.547,0.019089,94.01,0.00,8372,75.88,
stride,baseline,262144,128,1x32,198.308,0.020171,94.34,0.00,6104,74.73,
stride,baseline,262144,256,1x32,74.297,0.053838,8.90,97.95,2148,32.44,
stride,baseline,262144,512,1x32,70.562,0.056688,16.43,98.98,1124,29.13,
stride,baseline,262144,1024,1x32,68.682,0.058240,26.77,99.49,612,27.38,
stride,baseline,1048576,64,1x32,268.607,0.014892,79.19,0.00,32868,80.93,
stride,baseline,1048576,128,1x32,228.471,0.017508,77.70,0.00,16484,77.73,
stride,baseline,1048576,256,1x32,208.658,0.019170,88.38,0.00,8292,75.74,
stride,baseline,1048576,512,1x32,198.836,0.020117,94.04,0.00,4196,74.70,
stride,baseline,1048576,1024,1x32,74.224,0.053891,8.85,97.95,2148,32.37,
stride,baseline,16777216,64,1x32,432.681,0.009245,50.73,0.00,100100,87.91,
stride,baseline,16777216,128,1x32,431.505,0.009270,3.94,0.00,102056,87.73,
stride,baseline,16777216,256,1x32,430.993,0.009281,2.05,0.00,100100,87.51,
stride,baseline,16777216,512,1x32,348.439,0.011480,27.22,0.00,65636,84.70,
stride,baseline,16777216,1024,1x32,268.517,0.014897,58.46,0.00,32868,80.59,
stride,baseline,268435456,64,1x32,432.673,0.009245,50.81,0.00,100140,87.91,
stride,baseline,268435456,128,1x32,431.505,0.009270,1.63,0.00,100112,87.73,
stride,baseline,268435456,256,1x32,431.034,0.009280,2.77,0.00,100124,87.51,
stride,baseline,268435456,512,1x32,432.390,0.009251,1.69,0.00,100304,87.48,
stride,baseline,268435456,1024,1x32,432.083,0.009257,1.75,0.00,100112,87.44,
