benchmark,variant,workset_bytes,stride_bytes,blocks_x_threads,time_ns_per_iter,bandwidth_gbs,l2_hit_pct,l1_hit_pct,dram_read_sectors,stall_long_scoreboard_pct,note
stride,baseline,65536,16,1x32,77.545,0.051583,33.33,95.90,2140,34.82,
stride,baseline,65536,32,1x32,76.730,0.052131,33.33,95.90,3996,34.59,
stride,baseline,65536,64,1x32,76.780,0.052097,33.33,95.90,2140,34.87,
stride,baseline,65536,128,1x32,76.751,0.052117,33.33,95.90,2908,34.77,
stride,baseline,65536,256,1x32,76.767,0.052106,33.33,95.90,2220,34.68,
stride,baseline,65536,512,1x32,76.833,0.052061,33.33,95.90,3560,34.59,
stride,baseline,65536,1024,1x32,76.915,0.052006,33.33,95.90,2140,34.54,
stride,baseline,65536,2048,1x32,76.718,0.052139,33.33,95.90,2140,34.51,
stride,baseline,65536,4096,1x32,76.956,0.051978,33.33,95.90,2140,34.59,
stride,baseline,65536,8192,1x32,76.890,0.052022,33.33,95.90,2140,34.54,
stride,baseline,131072,16,1x32,86.815,0.046075,33.33,91.81,4188,42.00,
stride,baseline,131072,32,1x32,86.708,0.046132,33.33,91.81,4188,41.62,
stride,baseline,131072,64,1x32,86.835,0.046064,33.33,91.81,4188,42.05,
stride,baseline,131072,128,1x32,86.745,0.046112,33.33,91.81,4188,41.98,
stride,baseline,131072,256,1x32,86.712,0.046130,33.33,91.81,4188,41.82,
stride,baseline,131072,512,1x32,86.909,0.046025,33.33,91.81,4188,41.66,
stride,baseline,131072,1024,1x32,86.991,0.045982,33.33,91.81,4188,41.58,
stride,baseline,131072,2048,1x32,86.622,0.046178,33.33,91.81,4188,41.53,
stride,baseline,131072,4096,1x32,86.950,0.046004,33.33,91.81,4188,41.59,
stride,baseline,131072,8192,1x32,87.114,0.045917,33.33,91.81,4188,41.54,
stride,baseline,262144,16,1x32,147.567,0.027106,71.85,50.00,8288,65.84,
stride,baseline,262144,32,1x32,207.970,0.019234,84.86,0.00,8284,75.75,
stride,baseline,262144,64,1x32,208.318,0.019201,84.86,0.00,8284,75.87,
stride,baseline,262144,128,1x32,208.261,0.019207,84.86,0.00,8284,75.83,
stride,baseline,262144,256,1x32,137.843,0.029019,68.94,57.34,7936,63.20,
stride,baseline,262144,512,1x32,100.696,0.039723,30.00,86.69,7260,49.18,
stride,baseline,262144,1024,1x32,98.787,0.040491,31.58,87.20,6748,48.32,
stride,baseline,262144,2048,1x32,97.505,0.041023,32.43,87.46,6492,47.63,
stride,baseline,262144,4096,1x32,97.186,0.041158,33.33,87.46,6364,47.68,
stride,baseline,262144,8192,1x32,97.747,0.040922,33.33,87.46,6364,47.63,
stride,baseline,524288,16,1x32,167.584,0.023869,50.64,50.00,16476,69.60,
stride,baseline,524288,32,1x32,227.738,0.017564,71.84,0.00,16484,77.61,
stride,baseline,524288,64,1x32,228.475,0.017507,71.84,0.00,16476,77.82,
stride,baseline,524288,128,1x32,208.433,0.019191,84.86,0.00,8484,75.79,
stride,baseline,524288,256,1x32,208.601,0.019175,84.86,0.00,9052,75.74,
stride,baseline,524288,512,1x32,138.052,0.028975,68.94,57.34,7936,63.12,
stride,baseline,524288,1024,1x32,100.536,0.039787,30.00,86.69,7260,49.21,
stride,baseline,524288,2048,1x32,98.390,0.040655,31.58,87.20,6748,48.10,
stride,baseline,524288,4096,1x32,97.386,0.041073,32.43,87.46,6492,47.65,
stride,baseline,524288,8192,1x32,97.456,0.041044,33.33,87.46,6364,47.58,
stride,baseline,1048576,16,1x32,188.703,0.021197,33.33,50.00,25096,72.80,
stride,baseline,1048576,32,1x32,267.235,0.014968,50.64,0.00,32860,80.62,
stride,baseline,1048576,64,1x32,268.603,0.014892,50.64,0.00,36560,80.92,
stride,baseline,1048576,128,1x32,228.475,0.017507,71.84,0.00,16476,77.73,
stride,baseline,1048576,256,1x32,208.654,0.019170,84.86,0.00,8284,75.74,
stride,baseline,1048576,512,1x32,208.830,0.019154,84.86,0.00,8284,75.75,
stride,baseline,1048576,1024,1x32,137.757,0.029037,68.94,57.34,7932,63.13,
stride,baseline,1048576,2048,1x32,100.422,0.039832,30.00,86.69,7340,49.03,
stride,baseline,1048576,4096,1x32,98.615,0.040562,31.58,87.20,6748,48.23,
stride,baseline,1048576,8192,1x32,97.894,0.040860,32.43,87.46,6492,47.69,
stride,baseline,4194304,16,1x32,188.649,0.021203,33.33,50.00,25092,72.81,
stride,baseline,4194304,32,1x32,308.625,0.012961,33.33,0.00,50096,83.05,
stride,baseline,4194304,64,1x32,432.665,0.009245,0.00,0.00,100092,87.90,
stride,baseline,4194304,128,1x32,347.808,0.011501,20.82,0.00,68592,84.95,
stride,baseline,4194304,256,1x32,268.026,0.014924,50.64,0.00,32860,80.63,
