benchmark,variant,workset_bytes,stride_bytes,blocks_x_threads,hot_frac,hot_prob,time_ns_per_iter,bandwidth_gbs,l2_hit_pct,l1_hit_pct,dram_read_sectors,stall_long_scoreboard_pct,note
gather,baseline,65536,0,1x32,1.0,0.9,110.514,0.072389,33.33,91.70,8388,64.33,indices_len=iters
gather,baseline,131072,0,1x32,1.0,0.9,122.024,0.065561,35.76,89.07,10440,67.52,indices_len=iters
gather,baseline,262144,0,1x32,1.0,0.9,209.863,0.038120,71.20,57.07,14532,81.20,indices_len=iters
gather,baseline,524288,0,1x32,1.0,0.9,249.745,0.032033,63.79,48.91,24628,84.06,indices_len=iters
gather,baseline,1048576,0,1x32,1.0,0.9,292.876,0.027315,48.54,45.93,37540,86.23,indices_len=iters
gather,baseline,2097152,0,1x32,1.0,0.9,344.900,0.023195,31.52,44.72,57656,88.13,indices_len=iters
gather,baseline,4194304,0,1x32,1.0,0.9,390.939,0.020464,18.89,44.18,76240,89.43,indices_len=iters
gather,baseline,8388608,0,1x32,1.0,0.9,423.817,0.018876,11.27,43.96,89464,90.18,indices_len=iters
gather,baseline,16777216,0,1x32,1.0,0.9,443.240,0.018049,7.16,43.85,97392,90.58,indices_len=iters
gather,baseline,33554432,0,1x32,1.0,0.9,454.316,0.017609,5.02,43.80,101768,90.79,indices_len=iters
gather,baseline,67108864,0,1x32,1.0,0.9,463.282,0.017268,3.94,43.77,104036,90.98,indices_len=iters
gather,baseline,134217728,0,1x32,1.0,0.9,467.980,0.017095,3.37,43.76,107476,91.05,indices_len=iters
gather,baseline,268435456,0,1x32,1.0,0.9,469.524,0.017039,3.11,43.76,105808,91.10,indices_len=iters
gather,baseline,65536,0,1x32,0.1,0.9,110.232,0.072575,32.67,91.83,8384,64.21,indices_len=iters
gather,baseline,131072,0,1x32,0.1,0.9,118.465,0.067531,32.24,90.22,10100,66.56,indices_len=iters
gather,baseline,262144,0,1x32,0.1,0.9,127.238,0.062874,28.62,88.90,12588,68.68,indices_len=iters
gather,baseline,524288,0,1x32,0.1,0.9,136.163,0.058753,25.36,87.66,14796,70.60,indices_len=iters
gather,baseline,1048576,0,1x32,0.1,0.9,155.242,0.051532,34.36,82.26,17416,74.30,indices_len=iters
gather,baseline,2097152,0,1x32,0.1,0.9,222.933,0.035885,59.24,58.53,21548,82.14,indices_len=iters
gather,baseline,4194304,0,1x32,0.1,0.9,261.861,0.030551,56.48,49.50,28184,84.70,indices_len=iters
gather,baseline,8388608,0,1x32,0.1,0.9,299.807,0.026684,45.31,46.16,40608,86.51,indices_len=iters
gather,baseline,16777216,0,1x32,0.1,0.9,346.427,0.023093,30.87,44.78,58424,88.18,indices_len=iters
gather,baseline,33554432,0,1x32,0.1,0.9,390.980,0.020461,18.90,44.20,76208,89.42,indices_len=iters
gather,baseline,67108864,0,1x32,0.1,0.9,423.567,0.018887,11.39,43.96,89236,90.17,indices_len=iters
gather,baseline,134217728,0,1x32,0.1,0.9,442.941,0.018061,7.27,43.87,97156,90.58,indices_len=iters
gather,baseline,268435456,0,1x32,0.1,0.9,454.615,0.017597,5.14,43.79,101496,90.79,indices_len=iters
