benchmark,variant,workset_bytes,stride_bytes,iters,blocks_x_threads,time_ns_per_iter,bandwidth_gbs,l2_hit_pct,l1_hit_pct,dram_read_sectors,stall_long_scoreboard_pct,note
stride,baseline,4294967296,4096,200000,1x32,428.768,0.009329,0.00,0.00,400936,87.40,
stride,baseline,4294967296,8192,200000,1x32,433.606,0.009225,0.00,0.00,400780,87.37,
stride,baseline,4294967296,16384,200000,1x32,428.440,0.009336,0.00,0.00,403272,87.48,
stride,baseline,4294967296,65536,200000,1x32,270.797,0.014771,48.96,0.00,131168,80.71,
stride,baseline,4294967296,262144,200000,1x32,209.512,0.019092,84.86,0.00,35468,75.86,
stride,baseline,4294967296,1048576,200000,1x32,211.232,0.018936,85.46,0.00,31452,76.07,
stride,baseline,268435456,128,200000,1x32,431.539,0.009269,0.00,0.00,403392,87.74,boundary_sweep
stride,baseline,4294967296,128,200000,1x32,431.519,0.009270,0.00,0.00,401472,87.74,boundary_sweep
stride,baseline,268435456,8192,200000,1x32,228.736,0.017487,71.84,0.00,65628,77.58,boundary_sweep
stride,baseline,4294967296,8192,200000,1x32,433.556,0.009226,0.00,0.00,401356,87.37,boundary_sweep
