benchmark,variant,workset_bytes,stride_bytes,iters,blocks_x_threads,time_ns_per_iter,bandwidth_gbs,l2_hit_pct,l1_hit_pct,dram_read_sectors,stall_long_scoreboard_pct,note
stride,baseline,34359738368,64,200000,1x32,432.618,0.009246,0.00,0.00,401956,87.91,
stride,baseline,34359738368,128,200000,1x32,435.188,0.009191,0.00,0.00,405376,87.74,
stride,baseline,34359738368,256,200000,1x32,435.564,0.009184,0.00,0.00,400752,87.51,
stride,baseline,34359738368,512,200000,1x32,436.774,0.009158,0.00,0.00,401748,87.49,
stride,baseline,34359738368,1024,200000,1x32,436.601,0.009162,0.00,0.00,404208,87.44,
stride,baseline,34359738368,2048,200000,1x32,436.789,0.009158,0.00,0.00,400796,87.34,
stride,baseline,34359738368,4096,200000,1x32,433.548,0.009226,0.00,0.00,404100,87.40,
stride,baseline,34359738368,6144,200000,1x32,436.734,0.009159,0.00,0.00,404412,87.39,
stride,baseline,34359738368,8192,200000,1x32,438.589,0.009120,0.00,0.00,400744,87.37,
stride,baseline,34359738368,10240,200000,1x32,436.560,0.009163,0.00,0.00,403792,87.39,
stride,baseline,34359738368,12288,200000,1x32,435.345,0.009188,0.00,0.00,403772,87.41,
stride,baseline,34359738368,16384,200000,1x32,433.348,0.009230,0.00,0.00,400788,87.48,
stride,baseline,34359738368,24576,200000,1x32,437.236,0.009148,0.00,0.00,401008,87.40,
stride,baseline,34359738368,32768,200000,1x32,437.113,0.009151,0.00,0.00,401132,87.44,
stride,baseline,34359738368,49152,200000,1x32,436.379,0.009166,0.00,0.00,401712,87.42,
stride,baseline,34359738368,65536,200000,1x32,437.320,0.009147,0.00,0.00,404800,87.42,
stride,baseline,34359738368,98304,200000,1x32,437.207,0.009149,0.00,0.00,400856,87.41,
stride,baseline,34359738368,131072,200000,1x32,436.823,0.009157,0.00,0.00,406700,87.41,
stride,baseline,34359738368,196608,200000,1x32,438.439,0.009123,0.00,0.00,404924,87.46,
stride,baseline,34359738368,262144,200000,1x32,419.823,0.009528,12.27,0.00,274320,85.37,
stride,baseline,34359738368,393216,200000,1x32,439.200,0.009107,0.00,0.00,401276,87.47,
stride,baseline,34359738368,524288,200000,1x32,326.682,0.012244,48.93,0.00,131496,80.81,
stride,baseline,34359738368,786432,200000,1x32,421.130,0.009498,12.25,0.00,276496,85.44,
stride,baseline,34359738368,1048576,200000,1x32,239.421,0.016707,71.76,0.00,65636,77.96,
stride,baseline,34359738368,2097152,200000,1x32,217.131,0.018422,84.86,0.00,32860,76.55,
stride,baseline,34359738368,4194304,200000,1x32,216.974,0.018435,84.86,0.00,32868,76.55,
stride,baseline,262144,128,65534,1x32,203.793,0.019628,88.23,0.00,8284,75.33,boundary_sweep
stride,baseline,1048576,128,200000,1x32,208.413,0.019193,84.86,0.00,32860,75.81,boundary_sweep
stride,baseline,4194304,128,200000,1x32,228.175,0.017530,71.84,0.00,65628,77.75,boundary_sweep
stride,baseline,16777216,128,200000,1x32,347.677,0.011505,20.82,0.00,262240,84.96,boundary_sweep
stride,baseline,67108864,128,200000,1x32,431.495,0.009270,0.00,0.00,404596,87.74,boundary_sweep
stride,baseline,268435456,128,200000,1x32,431.478,0.009270,0.00,0.00,402264,87.74,boundary_sweep
stride,baseline,1073741824,128,200000,1x32,431.531,0.009269,0.00,0.00,401812,87.74,boundary_sweep
stride,baseline,4294967296,128,200000,1x32,431.527,0.009269,0.00,0.00,401948,87.74,boundary_sweep
stride,baseline,17179869184,128,200000,1x32,431.507,0.009270,0.00,0.00,404140,87.74,boundary_sweep
stride,baseline,34359738368,128,200000,1x32,431.665,0.009266,0.00,0.00,405400,87.74,boundary_sweep
stride,baseline,262144,8192,65534,1x32,97.795,0.040902,33.33,87.50,8284,47.55,boundary_sweep
stride,baseline,1048576,8192,200000,1x32,97.444,0.041049,33.33,87.46,25180,47.58,boundary_sweep
stride,baseline,4194304,8192,200000,1x32,97.558,0.041001,32.43,87.46,25692,47.75,boundary_sweep
stride,baseline,16777216,8192,200000,1x32,206.041,0.019414,86.62,0.00,28780,75.47,boundary_sweep
stride,baseline,67108864,8192,200000,1x32,208.640,0.019172,84.86,0.00,32860,75.74,boundary_sweep
stride,baseline,268435456,8192,200000,1x32,228.758,0.017486,71.84,0.00,65628,77.58,boundary_sweep
stride,baseline,1073741824,8192,200000,1x32,370.980,0.010782,12.61,0.00,272620,85.26,boundary_sweep
stride,baseline,4294967296,8192,200000,1x32,433.574,0.009226,0.00,0.00,400824,87.37,boundary_sweep
stride,baseline,17179869184,8192,200000,1x32,433.526,0.009227,0.00,0.00,400844,87.37,boundary_sweep
stride,baseline,34359738368,8192,200000,1x32,433.440,0.009228,0.00,0.00,400704,87.37,boundary_sweep
