benchmark,variant,workset_bytes,stride_bytes,iters,blocks_x_threads,time_ns_per_iter,bandwidth_gbs,l2_hit_pct,l1_hit_pct,dram_read_sectors,stall_long_scoreboard_pct,note
explicit,baseline,34359738368,128,200000,1x32,431.498,0.009270,0.00,0.00,405452,87.74,
explicit,prefetch_l2,34359738368,128,200000,1x32,275.186,0.014536,33.32,0.00,801084,70.54,
explicit,cp_async,34359738368,128,200000,1x32,120.146,0.033293,0.00,0.00,400644,32.26,
explicit,baseline,34359738368,8192,200000,1x32,438.671,0.009118,0.00,0.00,401740,87.37,
explicit,prefetch_l2,34359738368,8192,200000,1x32,275.495,0.014519,33.33,0.00,806180,70.56,
explicit,cp_async,34359738368,8192,200000,1x32,127.623,0.031342,0.00,0.00,400516,37.78,
explicit,baseline,34359738368,65536,200000,1x32,437.250,0.009148,0.00,0.00,404568,87.42,
explicit,prefetch_l2,34359738368,65536,200000,1x32,275.403,0.014524,33.33,0.00,800840,70.55,
explicit,cp_async,34359738368,65536,200000,1x32,125.978,0.031752,0.00,0.00,401276,37.13,
explicit,baseline,34359738368,1048576,200000,1x32,239.392,0.016709,71.76,0.00,66108,77.96,
explicit,prefetch_l2,34359738368,1048576,200000,1x32,238.502,0.016771,84.75,0.00,131324,64.55,
explicit,cp_async,34359738368,1048576,200000,1x32,84.405,0.047391,71.76,0.00,65708,9.13,
